Date,Country/Region,Province/State,Confirmed,Recovered,Deaths
23-03-2020,Argentina,,301,3,4
24-03-2020,Argentina,,387,52,6
25-03-2020,Argentina,,387,52,8
26-03-2020,Argentina,,502,63,9
27-03-2020,Argentina,,589,72,13
28-03-2020,Argentina,,690,72,18
29-03-2020,Argentina,,745,72,19
30-03-2020,Argentina,,820,228,23
31-03-2020,Argentina,,1054,240,27
01-04-2020,Argentina,,1054,248,28
02-04-2020,Argentina,,1133,256,36
03-04-2020,Argentina,,1265,266,39
04-04-2020,Argentina,,1451,279,43
05-04-2020,Argentina,,1451,280,44
06-04-2020,Argentina,,1554,325,48
07-04-2020,Argentina,,1628,338,56
08-04-2020,Argentina,,1715,358,63
09-04-2020,Argentina,,1795,365,72
10-04-2020,Argentina,,1975,375,82
11-04-2020,Argentina,,1975,440,83
22-01-2020,Armenia,,0,0,0
23-01-2020,Armenia,,0,0,0
24-01-2020,Armenia,,0,0,0
25-01-2020,Armenia,,0,0,0
26-01-2020,Armenia,,0,0,0
27-01-2020,Armenia,,0,0,0
28-01-2020,Armenia,,0,0,0
29-01-2020,Armenia,,0,0,0
30-01-2020,Armenia,,0,0,0
31-01-2020,Armenia,,0,0,0
01-02-2020,Armenia,,0,0,0
02-02-2020,Armenia,,0,0,0
03-02-2020,Armenia,,0,0,0
04-02-2020,Armenia,,0,0,0
05-02-2020,Armenia,,0,0,0
06-02-2020,Armenia,,0,0,0
07-02-2020,Armenia,,0,0,0
08-02-2020,Armenia,,0,0,0
09-02-2020,Armenia,,0,0,0
10-02-2020,Armenia,,0,0,0
11-02-2020,Armenia,,0,0,0
12-02-2020,Armenia,,0,0,0
13-02-2020,Armenia,,0,0,0
14-02-2020,Armenia,,0,0,0
15-02-2020,Armenia,,0,0,0
16-02-2020,Armenia,,0,0,0
17-02-2020,Armenia,,0,0,0
18-02-2020,Armenia,,0,0,0
19-02-2020,Armenia,,0,0,0
20-02-2020,Armenia,,0,0,0
21-02-2020,Armenia,,0,0,0
22-02-2020,Armenia,,0,0,0
23-02-2020,Armenia,,0,0,0
24-02-2020,Armenia,,0,0,0
25-02-2020,Armenia,,0,0,0
26-02-2020,Armenia,,0,0,0
27-02-2020,Armenia,,0,0,0
28-02-2020,Armenia,,0,0,0
29-02-2020,Armenia,,0,0,0
01-03-2020,Armenia,,1,0,0
02-03-2020,Armenia,,1,0,0
03-03-2020,Armenia,,1,0,0
04-03-2020,Armenia,,1,0,0
05-03-2020,Armenia,,1,0,0
06-03-2020,Armenia,,1,0,0
07-03-2020,Armenia,,1,0,0
08-03-2020,Armenia,,1,0,0
09-03-2020,Armenia,,1,0,0
10-03-2020,Armenia,,1,0,0
11-03-2020,Armenia,,1,0,0
12-03-2020,Armenia,,4,0,0
13-03-2020,Armenia,,8,0,0
14-03-2020,Armenia,,18,0,0
15-03-2020,Armenia,,26,0,0
16-03-2020,Armenia,,52,0,0
17-03-2020,Armenia,,78,1,0
18-03-2020,Armenia,,84,1,0
19-03-2020,Armenia,,115,1,0
20-03-2020,Armenia,,136,1,0
21-03-2020,Armenia,,160,1,0
22-03-2020,Armenia,,194,2,0
23-03-2020,Armenia,,235,2,0
24-03-2020,Armenia,,249,14,0
25-03-2020,Armenia,,265,16,0
26-03-2020,Armenia,,290,18,1
27-03-2020,Armenia,,329,28,1
28-03-2020,Armenia,,407,30,1
29-03-2020,Armenia,,424,30,3
30-03-2020,Armenia,,482,30,3
31-03-2020,Armenia,,532,30,3
01-04-2020,Armenia,,571,31,4
02-04-2020,Armenia,,663,33,7
03-04-2020,Armenia,,736,43,7
04-04-2020,Armenia,,770,43,7
05-04-2020,Armenia,,822,57,7
06-04-2020,Armenia,,833,62,8
07-04-2020,Armenia,,853,87,8
08-04-2020,Armenia,,881,114,9
09-04-2020,Armenia,,921,138,10
10-04-2020,Armenia,,937,149,12
11-04-2020,Armenia,,967,173,13
22-01-2020,Australia,Australian Capital Territory,0,0,0
23-01-2020,Australia,Australian Capital Territory,0,0,0
24-01-2020,Australia,Australian Capital Territory,0,0,0
25-01-2020,Australia,Australian Capital Territory,0,0,0
26-01-2020,Australia,Australian Capital Territory,0,0,0
27-01-2020,Australia,Australian Capital Territory,0,0,0
28-01-2020,Australia,Australian Capital Territory,0,0,0
29-01-2020,Australia,Australian Capital Territory,0,0,0
30-01-2020,Australia,Australian Capital Territory,0,0,0
31-01-2020,Australia,Australian Capital Territory,0,0,0
01-02-2020,Australia,Australian Capital Territory,0,0,0
02-02-2020,Australia,Australian Capital Territory,0,0,0
03-02-2020,Australia,Australian Capital Territory,0,0,0
04-02-2020,Australia,Australian Capital Territory,0,0,0
05-02-2020,Australia,Australian Capital Territory,0,0,0
06-02-2020,Australia,Australian Capital Territory,0,0,0
07-02-2020,Australia,Australian Capital Territory,0,0,0
08-02-2020,Australia,Australian Capital Territory,0,0,0
09-02-2020,Australia,Australian Capital Territory,0,0,0
10-02-2020,Australia,Australian Capital Territory,0,0,0
11-02-2020,Australia,Australian Capital Territory,0,0,0
12-02-2020,Australia,Australian Capital Territory,0,0,0
13-02-2020,Australia,Australian Capital Territory,0,0,0
14-02-2020,Australia,Australian Capital Territory,0,0,0
15-02-2020,Australia,Australian Capital Territory,0,0,0
16-02-2020,Australia,Australian Capital Territory,0,0,0
17-02-2020,Australia,Australian Capital Territory,0,0,0
18-02-2020,Australia,Australian Capital Territory,0,0,0
19-02-2020,Australia,Australian Capital Territory,0,0,0
20-02-2020,Australia,Australian Capital Territory,0,0,0
21-02-2020,Australia,Australian Capital Territory,0,0,0
22-02-2020,Australia,Australian Capital Territory,0,0,0
23-02-2020,Australia,Australian Capital Territory,0,0,0
24-02-2020,Australia,Australian Capital Territory,0,0,0
25-02-2020,Australia,Australian Capital Territory,0,0,0
26-02-2020,Australia,Australian Capital Territory,0,0,0
27-02-2020,Australia,Australian Capital Territory,0,0,0
28-02-2020,Australia,Australian Capital Territory,0,0,0
29-02-2020,Australia,Australian Capital Territory,0,0,0
